time	pH		Temp/°C		Cond/µS	
213		6.377		21.5		-5012	
214		6.378		21.5		-4987	
215		6.38		21.6		-5012	
216		6.381		21.5		-5012	
217		6.383		21.5		-5000	
218		6.384		21.5		-4987	
219		6.384		21.5		-5000	
220		6.386		21.5		-5012	
221		6.388		21.6		-5000	
222		6.389		21.6		-5000	
223		6.391		21.5		-5012	
224		6.392		21.5		-5012	
225		6.394		21.5		-5000	
226		6.395		21.5		-5012	
227		6.396		21.5		-5000	
228		6.398		21.5		-5012	
229		6.4		21.5		-5012	
230		6.401		21.5		-4987	
231		6.403		21.5		-5012	
232		6.404		21.5		-5012	
233		6.405		21.5		-5000	
234		6.407		21.5		-5012	
235		6.408		21.5		-5024	
236		6.41		21.5		-5012	
237		6.411		21.5		-5012	
238		6.413		21.5		-5012	
239		6.415		21.5		-4987	
240		6.416		21.5		-5000	
241		6.417		21.5		-5012	
242		6.419		21.5		-5000	
243		6.421		21.5		-5012	
244		6.422		21.5		-5000	
245		6.423		21.5		-5024	
246		6.425		21.5		-5012	
247		6.426		21.5		-5012	
248		6.428		21.4		-5012	
249		6.43		21.5		-4987	
250		6.43		21.5		-5012	
251		6.432		21.5		-5012	
252		6.433		21.5		-5012	
253		6.434		21.5		-5012	
254		6.436		21.5		-5012	
255		6.437		21.5		-5000	
256		6.438		21.5		-5024	
257		6.44		21.5		-5012	
258		6.44		21.5		-5024	
259		6.442		21.5		-5012	
260		6.444		21.5		-5012	
261		6.444		21.5		-5000	
262		6.446		21.5		-4987	
263		6.446		21.5		-5012	
264		6.448		21.5		-5000	
265		6.449		21.5		-5000	
266		6.45		21.5		-5024	
267		6.451		21.5		-5012	
268		6.451		21.5		-5000	
269		6.452		21.5		-5000	
270		6.453		21.4		-5000	
271		6.454		21.5		-5012	
272		6.455		21.5		-5012	
273		6.455		21.5		-5012	
274		6.456		21.5		-5012	
275		6.457		21.5		-5012	
276		6.457		21.5		-5012	
277		6.458		21.5		-5012	
278		6.459		21.5		-5024	
279		6.459		21.5		-5000	
280		6.459		21.5		-4987	
281		6.459		21.5		-5000	
282		6.46		21.5		-5000	
283		6.461		21.5		-5012	
284		6.461		21.5		-4987	
285		6.461		21.5		-5000	
286		6.461		21.5		-5012	
287		6.461		21.5		-5000	
288		6.462		21.5		-5012	
289		6.461		21.5		-5012	
290		6.461		21.5		-5012	
291		6.461		21.5		-5012	
292		6.461		21.5		-5000	
293		6.461		21.5		-5000	
294		6.461		21.5		-5012	
295		6.461		21.5		-5000	
296		6.46		21.5		-5024	
297		6.46		21.5		-5000	
298		6.46		21.5		-5012	
299		6.46		21.5		-5036	
300		6.459		21.5		-5012	
301		6.459		21.5		-5012	
302		6.458		21.5		-5000	
303		6.458		21.6		-4987	
304		6.457		21.6		-5024	
305		6.456		21.5		-5024	
306		6.455		21.5		-5012	
307		6.454		21.5		-5012	
308		6.454		21.5		-4987	
309		6.453		21.5		-5012	
310		6.452		21.6		-5012	
311		6.451		21.5		-5012	
312		6.45		21.6		-5012	
313		6.449		21.6		-5012	
314		6.448		21.6		-5000	
315		6.447		21.5		-5012	
316		6.446		21.6		-5012	
317		6.445		21.6		-5012	
318		6.444		21.5		-5012	
319		6.442		21.5		-5000	
320		6.441		21.6		-5012	
321		6.439		21.6		-5012	
322		6.438		21.5		-4987	
323		6.436		21.6		-5024	
324		6.435		21.6		-5000	
325		6.434		21.6		-5012	
326		6.432		21.6		-5012	
327		6.431		21.6		-4987	
328		6.429		21.6		-4987	
329		6.428		21.6		-5000	
330		6.426		21.5		-5000	
331		6.424		21.6		-5000	
332		6.422		21.6		-5000	
333		6.421		21.5		-5012	
334		6.419		21.6		-5000	
335		6.417		21.6		-5012	
336		6.415		21.6		-5012	
337		6.413		21.6		-5000	
338		6.412		21.5		-5000	
339		6.409		21.6		-4987	
340		6.407		21.6		-5000	
341		6.405		21.5		-5012	
342		6.403		21.6		-5000	
343		6.402		21.5		-5000	
344		6.399		21.6		-5000	
345		6.397		21.5		-5000	
346		6.395		21.5		-5000	
347		6.392		21.5		-5000	
348		6.39		21.6		-5012	
349		6.388		21.6		-5000	
350		6.386		21.5		-5012	
