Time	Cond		
190	0.6544	-0.001	19.3
191	0.6543	-0.0093	19.3
192	0.6544	-0.0019	19.3
193	0.6543	-0.0048	19.3
194	0.6544	-0.0001	19.3
195	0.6543	-0.004	19.4
196	0.6544	-0.0005	19.3
197	0.6544	-0.0023	19.3
198	0.6543	-0.0034	19.3
199	0.6544	-0.0051	19.3
200	0.6543	-0.0023	19.4
201	0.6543	-0.0053	19.4
202	0.6544	-0.0035	19.3
203	0.6543	-0.004	19.4
204	0.6544	-0.0046	19.4
205	0.6544	-0.0003	19.4
206	0.6545	-0.0012	19.3
207	0.6545	-0.0054	19.3
208	0.6545	-0.0011	19.4
209	0.6545	-0.0004	19.4
210	0.6545	-0.0027	19.4
211	0.6544	-0.0081	19.4
212	0.6545	-0.0024	19.4
213	0.6545	-0.0022	19.4
214	0.6545	-0.0024	19.4
215	0.6546	0.0005	19.4
216	0.6546	0.0011	19.3
217	0.6546	-0.0056	19.4
218	0.6546	-0.0018	19.4
219	0.6546	-0.0023	19.4
220	0.6547	0.0027	19.4
221	0.6547	-0.0023	19.4
222	0.6547	-0.0051	19.4
223	0.6547	0.0027	19.4
224	0.6547	-0.0024	19.4
225	0.6547	-0.0052	19.4
226	0.6548	0.0047	19.4
227	0.6548	-0.0054	19.3
228	0.6548	-0.0016	19.4
229	0.6548	-0.0005	19.4
230	0.6549	-0.0023	19.4
231	0.655	0.0029	19.3
232	0.655	-0.0019	19.3
233	0.655	0.0011	19.4
234	0.655	0.001	19.4
235	0.655	-0.0022	19.4
236	0.655	-0.0058	19.3
237	0.6551	0.0012	19.4
238	0.6551	0.0013	19.4
239	0.6551	-0.004	19.4
240	0.6552	0.0038	19.4
241	0.6552	-0.0036	19.4
242	0.6553	-0.0033	19.4
243	0.6553	0.0009	19.4
244	0.6553	-0.0061	19.4
245	0.6555	0.0046	19.4
246	0.6554	-0.0031	19.4
247	0.6555	0.0021	19.4
248	0.6555	-0.0035	19.4
249	0.6556	0.0036	19.4
250	0.6556	-0.0003	19.4
251	0.6557	-0.0019	19.4
252	0.6556	-0.0043	19.4
253	0.6557	-0.0006	19.4
254	0.6558	0.003	19.4
255	0.6558	-0.0037	19.4
256	0.6559	-0.0011	19.4
257	0.6559	-0.0038	19.4
258	0.6559	-0.0032	19.4
259	0.656	-0.0003	19.4
260	0.656	0.0006	19.4
261	0.6561	0.0015	19.4
262	0.6561	-0.0021	19.4
263	0.6561	-0.002	19.4
264	0.6562	0.0013	19.4
265	0.6563	0.0023	19.4
266	0.6564	0.0013	19.4
267	0.6564	-0.0062	19.4
268	0.6565	0.0035	19.4
269	0.6565	0.0003	19.4
270	0.6565	0.0001	19.4
271	0.6566	0.0013	19.4
272	0.6566	-0.0004	19.4
273	0.6567	0.001	19.4
274	0.6567	-0.0009	19.4
275	0.6567	-0.0021	19.4
276	0.6568	0.0005	19.4
277	0.6568	-0.0019	19.4
278	0.6568	-0.0014	19.4
279	0.657	0.0002	19.4
280	0.657	-0.0005	19.4
281	0.6571	0.0036	19.4
282	0.6571	-0.0024	19.4
283	0.6572	0.0015	19.4
284	0.6572	-0.0012	19.4
285	0.6573	-0.0021	19.4
286	0.6573	-0.001	19.4
287	0.6574	-0.0037	19.4
288	0.6574	-0.001	19.4
289	0.6574	-0.0056	19.4
290	0.6576	-0.0042	19.4
291	0.6576	0.0004	19.4
292	0.6576	-0.0012	19.4
293	0.6577	0.0032	19.4
294	0.6578	-0.0005	19.4
295	0.6578	0.0005	19.4
296	0.6578	-0.0001	19.4
297	0.658	0.0008	19.4
298	0.658	0.0024	19.4
299	0.658	0.003	19.4
300	0.6581	-0.0041	19.4
301	0.6582	0.0017	19.4
302	0.6582	0.0002	19.4
303	0.6583	-0.0004	19.4
304	0.6583	-0.0038	19.4
305	0.6584	0.0011	19.4
306	0.6584	0.0007	19.4
307	0.6584	0.0011	19.4
308	0.6585	-0.0008	19.4
309	0.6585	-0.0007	19.4
310	0.6586	-0.0005	19.4
311	0.6586	-0.0005	19.4
312	0.6587	-0.0012	19.4
313	0.6588	0.0004	19.4
314	0.6588	0.001	19.4
315	0.6589	-0.0009	19.4
316	0.659	-0.001	19.4
317	0.659	-0.0022	19.4
318	0.6591	-0.0013	19.4
319	0.6591	0.0003	19.4
320	0.6591	-0.0034	19.4
321	0.6592	0.0004	19.4
322	0.6593	0.0039	19.4
323	0.6593	-0.0007	19.4
324	0.6594	0.0028	19.4
325	0.6595	-0.0018	19.4
326	0.6595	0.0026	19.4
327	0.6596	-0.0013	19.4
328	0.6597	-0.0003	19.4
329	0.6597	-0.0021	19.4
330	0.6597	0.0037	19.4
331	0.6598	0.0005	19.4
332	0.6598	0.002	19.4
333	0.6599	-0.0002	19.4
334	0.66	0.0025	19.4
335	0.66	-0.0045	19.4
336	0.66	-0.0007	19.4
337	0.6601	0.0001	19.4
338	0.6602	0.0005	19.4
339	0.6602	0.0011	19.4
340	0.6603	0.0021	19.4
341	0.6604	-0.0013	19.4
342	0.6604	-0.0034	19.4
343	0.6604	-0.0023	19.4
344	0.6605	0.0016	19.4
345	0.6605	-0.0019	19.4
346	0.6606	-0.0006	19.4
347	0.6607	0.0025	19.4
348	0.6608	-0.0011	19.4
349	0.6608	0.0006	19.4
350	0.6609	0.0009	19.4
351	0.6609	-0.0013	19.4
352	0.661	0.0017	19.4
353	0.6611	0.0002	19.4
354	0.6611	0.0005	19.4
355	0.6612	0.0023	19.4
356	0.6613	0.0001	19.4
357	0.6613	-0.0011	19.4
358	0.6613	-0.0018	19.4
359	0.6614	0.003	19.4
360	0.6614	-0.0017	19.4
361	0.6614	-0.0004	19.4
362	0.6615	0.0011	19.4
363	0.6616	-0.0019	19.4
364	0.6616	-0.0011	19.4
365	0.6617	0.0009	19.4
366	0.6618	-0.0031	19.4
367	0.6618	-0.0004	19.4
368	0.6619	0.0007	19.4
369	0.6619	0.0002	19.4
370	0.662	0.0001	19.4
371	0.6621	0.003	19.4
372	0.6621	-0.0001	19.4
373	0.6622	-0.0029	19.4
374	0.6622	-0.0003	19.4
375	0.6624	0.0012	19.4
376	0.6623	0.0001	19.4
377	0.6624	-0.0004	19.4
378	0.6625	0.0022	19.4
379	0.6625	0.0028	19.4
380	0.6626	0.0005	19.4
381	0.6626	-0.0023	19.4
382	0.6627	0.0055	19.4
383	0.6627	-0.0001	19.4
384	0.6628	0.0022	19.4
385	0.6629	0.0009	19.4
386	0.6629	-0.0009	19.4
387	0.663	-0.0012	19.4
388	0.663	-0.0037	19.4
389	0.6631	-0.0012	19.4
390	0.6631	0.002	19.4
391	0.6632	0.0006	19.4
392	0.6632	0.0043	19.4
393	0.6633	-0.0026	19.4
394	0.6634	-0.0005	19.4
395	0.6634	-0.004	19.4
396	0.6635	0.0017	19.4
397	0.6636	-0.0016	19.4
398	0.6636	0.0005	19.4
399	0.6636	-0.0026	19.4
400	0.6636	-0.002	19.4
401	0.6637	-0.0018	19.4
402	0.6638	0.0018	19.4
403	0.6638	-0.0021	19.4
404	0.6639	0.0005	19.4
405	0.664	0.0001	19.4
406	0.664	-0.0044	19.4
407	0.6641	0.001	19.4
408	0.6641	-0.0003	19.4
409	0.6641	-0.0019	19.4
410	0.6642	-0.0001	19.4
411	0.6644	0.0007	19.4
412	0.6644	0	19.4
413	0.6644	-0.0026	19.4
414	0.6645	0.0007	19.4
415	0.6645	-0.0032	19.4
416	0.6646	0.0029	19.4
417	0.6647	0.0006	19.4
418	0.6647	-0.0014	19.4
419	0.6647	0.0013	19.4
420	0.6648	-0.0038	19.4
421	0.6649	0.0003	19.4
422	0.6649	-0.0033	19.4
423	0.665	0.0013	19.4
424	0.665	-0.002	19.4
425	0.6651	0.0033	19.4
426	0.6652	-0.0007	19.4
427	0.6652	0.0019	19.4
428	0.6652	-0.0006	19.4
429	0.6653	-0.0015	19.4
430	0.6653	-0.0006	19.4
431	0.6655	-0.0009	19.4
432	0.6655	0.0016	19.4
433	0.6655	-0.002	19.4
434	0.6656	-0.0018	19.4
435	0.6657	-0.0003	19.4
436	0.6657	-0.0055	19.4
437	0.6658	0.0014	19.3
438	0.6658	-0.0034	19.4
439	0.6659	-0.0005	19.3
440	0.666	0.0044	19.4
441	0.666	0.003	19.4
442	0.6661	-0.0003	19.3
443	0.6661	0.0047	19.4
444	0.6662	-0.0011	19.4
445	0.6663	0.0021	19.3
446	0.6663	0.0029	19.3
447	0.6664	-0.001	19.4
448	0.6664	0.0015	19.3
449	0.6664	0.0037	19.4
450	0.6665	-0.001	19.4
451	0.6666	0.003	19.4
452	0.6666	0.0003	19.4
453	0.6667	-0.0012	19.3
454	0.6668	0.0025	19.3
455	0.6668	0.0005	19.3
456	0.6668	0.0007	19.3
457	0.6669	0.0003	19.4
458	0.6669	-0.0011	19.3
459	0.667	0.0027	19.4
460	0.6671	0.0021	19.3
461	0.667	-0.0045	19.3
462	0.6672	0.003	19.3
463	0.6672	-0.0006	19.3
464	0.6673	0.0028	19.3
465	0.6673	-0.0004	19.3
466	0.6674	-0.0002	19.3
467	0.6674	0.0018	19.3
468	0.6675	0.0008	19.3
469	0.6675	-0.0027	19.3
470	0.6677	0.0008	19.3
471	0.6677	0.0001	19.3
472	0.6677	-0.0026	19.3
473	0.6678	-0.0007	19.3
474	0.6678	0.0003	19.3
475	0.6679	0.0001	19.3
476	0.6679	-0.0011	19.3
477	0.668	-0.0028	19.3
478	0.668	0.0006	19.3
479	0.6681	-0.0007	19.3
480	0.6681	-0.0022	19.3
481	0.6682	0.001	19.3
482	0.6683	0.0007	19.3
483	0.6683	0.0012	19.3
484	0.6684	0.0011	19.3
485	0.6685	-0.0001	19.3
486	0.6685	0.0016	19.3
487	0.6685	-0.0012	19.3
488	0.6686	-0.0006	19.3
