Ns changes	time/s	I/mA	Capacity/mA.h
0	50.7616	4.18686056	0.080539411
0	51.7616	4.15018845	0.08169826
0	52.7616	4.11810017	0.082847133
0	53.7616	4.08066463	0.083986136
0	54.7616	4.04590273	0.085115464
0	55.7616	4.01152277	0.086234894
0	56.7616	3.9779067	0.087344527
0	57.7616	3.9431448	0.08844432
0	58.7616	3.90647268	0.089534234
0	59.7616	3.86903667	0.09061436
0	60.7616	3.83465648	0.091684766
0	61.7616	3.80218673	0.092745455
0	62.7616	3.76551461	0.093796548
0	63.7616	3.73304462	0.094838283
0	64.7616	3.69904637	0.095870907
0	65.7616	3.67345285	0.096894416
0	66.7616	3.63143253	0.09790889
0	67.7616	3.60010839	0.098914398
0	68.7616	3.57222247	0.099911208
0	69.7616	3.54166269	0.100899405
0	70.7616	3.51148462	0.101879253
0	71.7616	3.48589063	0.102850888
0	72.7616	3.45303845	0.103814468
0	73.7616	3.43355656	0.104770195
0	74.7616	3.39764857	0.105718397
0	75.7616	3.37052631	0.106659321
0	76.7616	3.35601044	0.10759339
0	77.7616	3.32697845	0.108520719
0	78.7616	3.30902433	0.109441398
0	79.7616	3.28381252	0.11035571
0	80.7616	3.25898218	0.111263816
0	81.7616	3.23988247	0.112165987
0	82.7616	3.22307444	0.113062657
0	83.7616	3.20397449	0.113953966
0	84.7616	3.17570639	0.114839899
0	85.7616	3.1558423	0.115720568
0	86.7616	3.14361835	0.11659612
0	87.7616	3.12260842	0.117466562
0	88.7616	3.11038446	0.118332192
0	89.7616	3.09395838	0.119193059
0	90.7616	3.07218432	0.120049298
0	91.7616	3.05805039	0.120901005
0	92.7616	3.04162431	0.121748274
0	93.7616	3.02214217	0.122591135
0	94.7616	3.00800824	0.123429789
0	95.7616	2.99998641	0.124264343
0	96.7616	2.98317838	0.12509481
0	97.7616	2.96789837	0.125921358
0	98.7616	2.95682049	0.126743951
0	99.7616	2.94230437	0.12756268
0	100.7616	2.92893434	0.128377551
0	101.7616	2.91518235	0.12918862
0	102.7616	2.89570045	0.129996035
0	103.7616	2.88806009	0.130799831
0	104.7616	2.8773644	0.131600141
0	105.7616	2.86705017	0.132397043
0	106.7616	2.84947824	0.133190557
0	107.7616	2.84489417	0.133980656
0	108.7616	2.82312036	0.134767388
0	109.7616	2.81242442	0.135550854
0	110.7616	2.80287433	0.13633106
0	111.7616	2.79332423	0.137108044
0	112.7616	2.78301024	0.13788187
0	113.7616	2.76964021	0.138652566
0	114.7616	2.75818038	0.139420182
0	115.7616	2.74748421	0.14018476
0	116.7616	2.74022627	0.140946346
0	117.7616	2.72571015	0.141705065
0	118.7616	2.71386838	0.142460856
0	119.7616	2.70775628	0.143213685
0	120.7616	2.7001164	0.143963693
0	121.7616	2.69133019	0.144710847
0	122.7616	2.67528629	0.145455237
0	123.7616	2.6684103	0.146196725
0	124.7616	2.6496923	0.146935398
0	125.7616	2.65007424	0.147671284
0	126.7616	2.63555837	0.148404598
0	127.7616	2.62066031	0.149135215
0	128.7616	2.61340213	0.149863198
0	129.7616	2.60385227	0.150588519
0	130.7616	2.59506655	0.151311162
0	131.7616	2.58971834	0.152031221
0	132.7616	2.57902217	0.152748663
0	133.7616	2.57252836	0.153463452
0	134.7616	2.55648422	0.154175732
0	135.7616	2.54273224	0.154885362
0	136.7616	2.54082227	0.15559245
0	137.7616	2.53165436	0.156297059
0	138.7616	2.52095819	0.156999206
0	139.7616	2.51713848	0.157698959
0	140.7616	2.50224018	0.15839628
0	141.7616	2.49765635	0.159091196
0	142.7616	2.48925233	0.1597837
0	143.7616	2.48390436	0.160473831
0	144.7616	2.47855616	0.161161593
0	145.7616	2.46480417	0.161847046
0	146.7616	2.45792818	0.162530146
0	147.7616	2.44532228	0.163210969
0	148.7616	2.43615437	0.163889505
0	149.7616	2.43042445	0.164565705
0	150.7616	2.42507625	0.165239575
0	151.7616	2.41399837	0.16591121
0	152.7616	2.40826821	0.166580676
0	153.7616	2.3991003	0.167247972
0	154.7616	2.39489841	0.167913131
0	155.7616	2.38420248	0.168576164
0	156.7616	2.37312436	0.169237177
0	157.7616	2.36968637	0.169896049
0	158.7616	2.35899019	0.170552882
0	159.7616	2.35364223	0.171207608
0	160.7616	2.34027243	0.171860198
0	161.7616	2.34141827	0.172510624
0	162.7616	2.33263206	0.173158935
0	163.7616	2.32193613	0.173805233
0	164.7616	2.31811643	0.174449497
0	165.7616	2.30933022	0.175091798
0	166.7616	2.2917583	0.175732128
0	167.7616	2.30169034	0.176370513
0	168.7616	2.29137611	0.177006993
0	169.7616	2.28641009	0.177641607
0	170.7616	2.27533221	0.178274324
0	171.7616	2.2669282	0.178905226
0	172.7616	2.2608161	0.179534308
0	173.7616	2.25279427	0.180161641
0	174.7616	2.24706411	0.180787248
0	175.7616	2.24439025	0.181411212
0	176.7616	2.23866034	0.182033447
0	177.7616	2.22720027	0.182654017
0	178.7616	2.22872829	0.18327283
0	179.7616	2.21994233	0.183889919
0	180.7616	2.21001029	0.184505178
0	181.7616	2.21230221	0.185118775
0	182.7616	2.1970222	0.185730615
0	183.7616	2.18518019	0.186340702
0	184.7616	2.19205642	0.186949086
0	185.7616	2.17906809	0.187555823
0	186.7616	2.18288827	0.188160914
0	187.7616	2.17945027	0.188764349
0	188.7616	2.15729403	0.189366119
0	189.7616	2.15194631	0.189966266
0	190.7616	2.15385604	0.190564752
0	191.7616	2.15003633	0.191161642
0	192.7616	2.14698029	0.191757028
0	193.7616	2.13552022	0.192350755
0	194.7616	2.12940812	0.192942915
0	195.7616	2.11871219	0.193533557
0	196.7616	2.11794806	0.194122607
0	197.7616	2.11260033	0.194710101
0	198.7616	2.10343218	0.195295955
0	199.7616	2.09923029	0.195880241
0	200.7616	2.10572433	0.196462957
0	201.7616	2.09197211	0.197044184
0	202.7616	2.08929825	0.197623792
0	203.7616	2.07287216	0.198201829
0	204.7616	2.07898426	0.198778409
0	205.7616	2.06637836	0.199353474
0	206.7616	2.06255841	0.199927056
0	207.7616	2.06026626	0.200499128
0	208.7616	2.04575014	0.201069683
0	209.7616	2.0419302	0.201638785
0	210.7616	2.0384922	0.202206464
0	211.7616	2.04040217	0.202772611
0	212.7616	2.03390813	0.203337205
0	213.7616	2.02359414	0.203900368
0	214.7616	2.02092028	0.204462051
0	215.7616	2.02168441	0.20502233
0	216.7616	2.00946021	0.205581195
0	217.7616	2.00946021	0.206138645
0	218.7616	1.99761832	0.206694734
